Country,Very important,Rather important,Not very important,Not at all important,Year
Albania,95.8,3.2,0.3,0.2,1994-1999
Azerbaijan,84.7,13.2,1.4,0.1,1994-1999
Argentina,86.6,12.1,1.3,0.1,1994-1999
Australia,90.2,8,1.4,0.4,1994-1999
Bangladesh,94.2,5,0.5,0.1,1994-1999
Armenia,86,12,1.2,0.4,1994-1999
Bulgaria,87.9,10.2,0.9,0.3,1994-1999
Belarus,83.8,13.2,2,0.2,1994-1999
Chile,88.8,8.9,1.1,0.1,1994-1999
China,76.5,22,1.2,0.1,1994-1999
Taiwan,77.7,20.6,0.9,0.4,1994-1999
Colombia,86,13.5,0.4,0,1994-1999
Croatia,85.2,12.2,2.3,0.2,1994-1999
Czech Rep.,90.8,7.2,1.5,0.2,1994-1999
Dominican Rep.,85.1,14.4,0,0,1994-1999
El Salvador,96.6,2.5,0.5,0.2,1994-1999
Estonia,77.7,19.5,2.1,0.2,1994-1999
Finland,80.4,15.9,2.1,0.4,1994-1999
Georgia,94.6,4.3,0.5,0.4,1994-1999
Germany,78.4,18.3,2.6,0.5,1994-1999
Hungary,89.4,8.2,1.2,1.1,1994-1999
India,90.8,7.9,0.9,0.1,1994-1999
Japan,89.8,8.3,0.7,0.2,1994-1999
South Korea,90.1,9.1,0.4,0,1994-1999
Latvia,67.8,25.4,4.9,1.5,1994-1999
Lithuania,73.2,23,2.5,0.3,1994-1999
Mexico,74.3,22.1,3,0.3,1994-1999
Moldova,79,18.1,2.2,0.6,1994-1999
New Zealand,92.6,5.7,0.7,0.1,1994-1999
Nigeria,97.5,2.1,0.2,0,1994-1999
Norway,87.8,10.6,1.6,0.1,1994-1999
Pakistan,80.8,14.6,3.7,0.6,1994-1999
Peru,87.4,11.1,1.2,0,1994-1999
Philippines,95.8,4,0.1,0.1,1994-1999
Poland,89.7,9.5,0.2,0.2,1994-1999
Puerto Rico,92.6,7,0.2,0.2,1994-1999
Romania,88.6,8.9,2,0.2,1994-1999
Russia,83.7,12.6,2.6,0.7,1994-1999
Slovakia,90.9,8.2,0.7,0.1,1994-1999
Slovenia,82,14.5,1.8,1.1,1994-1999
South Africa,93.1,4.7,1.7,0.4,1994-1999
Spain,81.8,17.3,0.5,0.3,1994-1999
Sweden,90.2,8.2,1.4,0.2,1994-1999
Switzerland,80.9,16.2,2.5,0.3,1994-1999
Turkey,96.6,3,0.2,0.1,1994-1999
Ukraine,85.7,11.3,1.4,0.5,1994-1999
Macedonia,97.5,1.8,0.2,0,1994-1999
United States,95.2,4,0.6,0.1,1994-1999
Uruguay,91.3,7.1,1,0.5,1994-1999
Venezuela,97.9,1.6,0,0.4,1994-1999
Serbia,88.6,9.5,1.4,0.2,1994-1999
Montenegro,88.3,11.2,0.4,0,1994-1999
Bosnia,96.8,3,0.1,0.1,1994-1999
Albania,95.9,3.1,0.8,0,2000-2004
Algeria,94.4,4.7,0.5,0.1,2000-2004
Argentina,90.2,8.4,1,0.3,2000-2004
Bangladesh,96.7,3.3,0,0,2000-2004
Bosnia Herzegovina,98.7,1.2,0,0,2000-2004
Canada,93.9,5.3,0.4,0.4,2000-2004
Chile,96.4,2.8,0.5,0.3,2000-2004
China,60.2,36.2,2.7,0.1,2000-2004
India,91.9,6,1.2,0.1,2000-2004
Indonesia,99,1,0,0,2000-2004
Iran,94.1,4.5,0.8,0.2,2000-2004
Iraq,97.3,2.2,0.1,0,2000-2004
Japan,91.3,6.4,0.7,0.1,2000-2004
Jordan,96.6,3.1,0.1,0.2,2000-2004
South Korea,89.6,10,0.4,0,2000-2004
Kyrgyzstan,87.2,12.1,0.7,0,2000-2004
Mexico,96.6,2.2,0.8,0.2,2000-2004
Moldova,85,12.1,1.7,0.3,2000-2004
Morocco,93.4,5.4,0.7,0.3,2000-2004
Nigeria,98.9,0.9,0.1,0,2000-2004
Pakistan,92.6,6.4,1,0.2,2000-2004
Peru,82.4,16.7,0.7,0.1,2000-2004
Philippines,98.6,1.3,0.1,0,2000-2004
Puerto Rico,95.7,3.8,0.4,0,2000-2004
Saudi Arabia,94.7,4.8,0.3,0,2000-2004
Singapore,91.8,7.7,0.5,0,2000-2004
Vietnam,82.2,17,0.5,0.1,2000-2004
South Africa,95.2,3,1.7,0.1,2000-2004
Zimbabwe,97.3,2.6,0.1,0.1,2000-2004
Spain,85.4,13.4,0.9,0.2,2000-2004
Sweden,89.4,8.5,1.8,0.2,2000-2004
Turkey,97.3,2.1,0.3,0.2,2000-2004
Uganda,91,6.9,2,0.1,2000-2004
Macedonia,97.9,1.5,0.4,0.1,2000-2004
Egypt,96.4,3.3,0.2,0.1,2000-2004
Tanzania,89.6,5.6,1.3,0.2,2000-2004
United States,95.3,3.8,0.4,0.4,2000-2004
Venezuela,97.8,2.1,0.2,0,2000-2004
Serbia,92,7.1,0.8,0.1,2000-2004
Montenegro,92.3,7.5,0.1,0.1,2000-2004
Andorra,86.7,12.8,0.3,0.2,2005-2009
Argentina,91.4,7.5,0.7,0.2,2005-2009
Australia,93.7,4.6,1,0.1,2005-2009
Brazil,86.4,13.1,0.2,0.3,2005-2009
Bulgaria,89.4,9,1,0.3,2005-2009
Canada,92.4,6.7,0.5,0.1,2005-2009
Chile,90.2,8.7,0.6,0.3,2005-2009
China,78.1,19.3,1.4,0.1,2005-2009
Taiwan,91.7,7.5,0.6,0.2,2005-2009
Cyprus,93.3,5.8,0.5,0.3,2005-2009
Ethiopia,92.7,5.5,1.2,0.6,2005-2009
Finland,86.7,10.9,1.3,0.2,2005-2009
France,86.2,11.3,1.9,0.4,2005-2009
Georgia,98.7,0.9,0.1,0.1,2005-2009
Germany,81.5,15,2.7,0.4,2005-2009
Ghana,94.4,3.8,1.4,0.3,2005-2009
Guatemala,98.4,1.4,0.1,0.1,2005-2009
