Country,Very important,Rather important,Not very important,Not at all important,Year
Albania,18.6,65.8,12.4,0.5,1994-1999
Azerbaijan,35.2,56.6,7.4,0.6,1994-1999
Argentina,48.6,35.1,14.3,1.8,1994-1999
Australia,62.6,32.9,3.8,0.2,1994-1999
Bangladesh,16.1,57.5,22.8,3.1,1994-1999
Armenia,44.4,46.4,8.2,0.6,1994-1999
Bulgaria,40.8,44.8,11.7,1.1,1994-1999
Belarus,31.3,50,15.2,2.1,1994-1999
Chile,27.6,36.1,30.4,4.8,1994-1999
China,29.3,54.9,12.9,1,1994-1999
Taiwan,29,58.6,11.3,0.4,1994-1999
Colombia,33.5,51.7,14.1,0.6,1994-1999
Croatia,48.3,43.5,7.2,0.8,1994-1999
Czech Rep.,38.4,50.6,9.7,0.8,1994-1999
Dominican Rep.,34.3,50.8,10.3,0.5,1994-1999
El Salvador,64.5,26.2,7.1,1.8,1994-1999
Estonia,26.8,59.2,12.6,1.2,1994-1999
Finland,56,40.4,2.6,0.1,1994-1999
Georgia,73.6,23.4,2.7,0.3,1994-1999
Germany,43.4,49.3,6.1,0.5,1994-1999
Hungary,38.2,37.7,20.5,3.2,1994-1999
India,37.5,40,18.6,3,1994-1999
Japan,48.1,46.5,4,0.3,1994-1999
South Korea,45.2,50.6,3,0.3,1994-1999
Latvia,24.2,56.9,16.5,2.2,1994-1999
Lithuania,21.6,55.3,19.7,2.1,1994-1999
Mexico,28.9,38.7,28.1,3.6,1994-1999
Moldova,21.2,50.6,24.3,3.2,1994-1999
New Zealand,55.4,36.9,4.4,0.1,1994-1999
Nigeria,53,36.7,9.1,0.9,1994-1999
Norway,59,38.1,2.8,0.2,1994-1999
Pakistan,25.1,33.7,30.2,4.3,1994-1999
Peru,21.9,36.3,35.8,4.1,1994-1999
Philippines,39,48.8,10.6,1.5,1994-1999
Poland,26,58.3,14.3,1,1994-1999
Puerto Rico,28.8,46.8,21.7,1.9,1994-1999
Romania,20.7,47.2,28.2,3.4,1994-1999
Russia,29.2,49.6,19.3,1.5,1994-1999
Slovakia,32,58.6,7.9,0.6,1994-1999
Slovenia,41,46.1,12.1,0.5,1994-1999
South Africa,27,35.4,24.6,12.3,1994-1999
Spain,40.7,49.2,8.3,1.3,1994-1999
Sweden,69.9,28.2,1.6,0.3,1994-1999
Switzerland,58.2,36,4.9,0.1,1994-1999
Turkey,71.2,26.7,1.6,0.2,1994-1999
Ukraine,34.1,52.6,9.1,1.6,1994-1999
Macedonia,47.8,40.9,5.9,1.7,1994-1999
United States,69.4,26.4,3.8,0.3,1994-1999
Uruguay,57.6,29.9,10.3,1.6,1994-1999
Venezuela,42.2,39.6,12.6,5.4,1994-1999
Serbia,48.3,45.2,5.6,0.7,1994-1999
Montenegro,47.1,46.7,4.2,0.8,1994-1999
Bosnia,69.8,27.3,2.6,0.2,1994-1999
Albania,32,51.2,14.5,1.6,2000-2004
Algeria,35.6,51.3,9.7,2.6,2000-2004
Argentina,49.7,30.4,15.9,2.8,2000-2004
Bangladesh,31.9,48.2,18.1,1.2,2000-2004
Bosnia Herzegovina,70.6,27.2,2,0.2,2000-2004
Canada,60.2,35.4,3.8,0.4,2000-2004
Chile,29.1,41.5,20.2,8.5,2000-2004
China,19.9,61.9,14.3,1.7,2000-2004
India,39.2,38.3,15.3,5.6,2000-2004
Indonesia,56,40.5,3.5,0,2000-2004
Iran,29,49.7,16.5,2.3,2000-2004
Iraq,59.6,31.9,6.2,1.2,2000-2004
Japan,46.6,45,5.2,0.1,2000-2004
Jordan,47.4,43.7,7.3,1.5,2000-2004
South Korea,44.8,50.7,4.1,0.3,2000-2004
Kyrgyzstan,47.5,42.4,9.3,0.6,2000-2004
Mexico,37.8,38.3,17.1,5.7,2000-2004
Moldova,34.9,46.9,15,1.8,2000-2004
Morocco,37.2,33.1,18,11.6,2000-2004
Nigeria,63.6,26.6,8.7,1,2000-2004
Pakistan,19.4,44.2,33.8,2.4,2000-2004
Peru,24.6,32.6,39.7,2.9,2000-2004
Philippines,36.8,51.4,10.2,1.4,2000-2004
Puerto Rico,32.2,49.6,16.1,1,2000-2004
Saudi Arabia,53.1,38.4,7.1,1.2,2000-2004
Singapore,39.5,53.3,7.1,0.1,2000-2004
Vietnam,21.6,59.5,17.5,0.7,2000-2004
South Africa,34.3,35.5,24.4,5.8,2000-2004
Zimbabwe,34.9,40.4,20.3,4.2,2000-2004
Spain,46.9,45.2,6.4,0.9,2000-2004
Sweden,70.7,26.9,2.2,0.2,2000-2004
Turkey,72.6,23.3,2.4,0.8,2000-2004
Uganda,75,20.1,4.1,0.7,2000-2004
Macedonia,49.2,44.1,4.6,1.1,2000-2004
Egypt,37.3,46.3,13.2,3.2,2000-2004
Tanzania,28.7,47.9,11.7,1.6,2000-2004
United States,64.2,31.5,3.8,0.3,2000-2004
Venezuela,52.5,37.4,8.6,1.5,2000-2004
Serbia,57.5,37.8,4.3,0.2,2000-2004
Montenegro,42.8,55,1.9,0,2000-2004
Andorra,48.8,43.4,6.9,0.7,2005-2009
Argentina,59.4,25.9,11.8,2.3,2005-2009
Australia,57.6,36.2,4.7,0.1,2005-2009
Brazil,37.1,50.4,10.4,1.8,2005-2009
Bulgaria,42.2,42.4,13.5,0.5,2005-2009
Canada,63.1,32.5,4.3,0,2005-2009
Chile,23.6,35.8,29.4,10.4,2005-2009
China,30.3,52.6,12.7,0.5,2005-2009
Taiwan,39.5,52.8,7.4,0.3,2005-2009
Cyprus,61.6,30.4,6.5,0.6,2005-2009
Ethiopia,78.9,18.2,2.2,0.7,2005-2009
Finland,62.2,35.7,1.9,0,2005-2009
France,58.7,33.3,6.8,1.1,2005-2009
Georgia,78.1,20,1.5,0.2,2005-2009
Germany,52.4,41.6,5.2,0.3,2005-2009
Ghana,42.8,32.1,19.4,4.7,2005-2009
Guatemala,43.9,39.9,14.2,1.9,2005-2009
Hong Kong,33.1,62.6,3.9,0.1,2005-2009
Hungary,41.4,39.3,15.3,3.9,2005-2009
India,42.3,41.1,11.5,2.8,2005-2009
Indonesia,56.4,36.9,5.5,0,2005-2009
Iran,29.4,51.3,15.9,3,2005-2009
Iraq,59.7,30.4,6.3,1.7,2005-2009
Italy,47,45.9,5.9,0.6,2005-2009
Japan,44.9,47.9,5.3,0.2,2005-2009
Jordan,62.8,29.3,5.8,1.8,2005-2009
South Korea,44.5,49.3,6.1,0.1,2005-2009
Malaysia,43.3,50.4,5.8,0.2,2005-2009
Mali,57,33.6,6.5,0.7,2005-2009
Mexico,36.1,42.4,17.1,3.9,2005-2009
Moldova,23.1,52.5,21.7,2.5,2005-2009
Morocco,52.2,32.9,11.3,3.4,2005-2009
Netherlands,57.6,38.5,3.5,0.3,2005-2009
New Zealand,54.9,37.9,4.1,0.4,2005-2009
Norway,65,33.2,1.8,0,2005-2009
Peru,21.9,30.7,43.4,3.3,2005-2009
Poland,34.7,58,6.6,0.4,2005-2009
Romania,24.1,46.7,22.6,4,2005-2009
Russia,37.4,51.1,8.7,1.3,2005-2009
Rwanda,49.2,49.6,0.7,0,2005-2009
Vietnam,22.1,62.4,15.3,0.1,2005-2009
Slovenia,51.1,39,8.9,0.8,2005-2009
South Africa,33.9,39.4,17.8,8.7,2005-2009
Spain,49.3,44.8,5.1,0.6,2005-2009
Sweden,71.3,26.7,1.9,0.1,2005-2009
Switzerland,58.9,37.3,3.5,0.2,2005-2009
Thailand,33.1,51.5,14.7,0.7,2005-2009
Trinidad and Tobago,40.2,33.3,23.9,2.3,2005-2009
Turkey,61.8,35.5,1.9,0.8,2005-2009
Ukraine,37.5,46,12.7,2.8,2005-2009
Egypt,43.2,46.7,8.3,1.8,2005-2009
United Kingdom,68.8,27.7,2.8,0.6,2005-2009
United States,59.6,35.3,4.2,0.6,2005-2009
Burkina Faso,55.2,35.4,7.7,1.2,2005-2009
Uruguay,51.5,33,10.8,4,2005-2009
Serbia and Montenegro,55.2,39.3,4.4,0.3,2005-2009
Zambia,47.6,39.9,9.3,1.6,2005-2009
Algeria,49.2,30.8,12.2,6.8,2010-2014
Azerbaijan,40.7,37.7,18.8,2.8,2010-2014
Argentina,53.9,33.6,10.5,1.7,2010-2014
Australia,55.6,37.5,3.5,0.4,2010-2014
Armenia,42.9,45,9,2.7,2010-2014
Brazil,33,50,15.1,1.7,2010-2014
Belarus,42.7,41.6,13.2,1.6,2010-2014
Chile,35.1,43.6,18,2.2,2010-2014
China,46.6,44.4,6.7,0.4,2010-2014
Taiwan,44,46.3,8,0.6,2010-2014
Colombia,30.7,40.7,25.2,3.3,2010-2014
Cyprus,60.6,32.1,6.4,0.7,2010-2014
Ecuador,32.6,41.3,22.6,3.4,2010-2014
Estonia,50.9,39,9,0.9,2010-2014
Georgia,74,23.4,2.2,0.3,2010-2014
Palestine,43.8,41,12.1,2.9,2010-2014
Germany,50.9,42.6,6.1,0.3,2010-2014
Ghana,45.7,33.7,16,4.5,2010-2014
Haiti,35.9,55.4,6.2,1.7,2010-2014
Hong Kong,41.5,54.2,4,0.3,2010-2014
India,44.9,40.4,9.5,3.5,2010-2014
Iraq,47.8,39.4,10.8,1.8,2010-2014
Japan,45,47,5.4,0.4,2010-2014
Kazakhstan,48.4,38.3,12.1,1.3,2010-2014
Jordan,50.7,40.2,7,2,2010-2014
South Korea,49.3,46,3.8,0.2,2010-2014
Kuwait,54.3,37.3,5.9,1.1,2010-2014
Kyrgyzstan,30.5,61.5,7.3,0.8,2010-2014
Lebanon,51.9,31.8,12.3,2.6,2010-2014
Libya,61.3,33,3,0.7,2010-2014
Malaysia,44.8,47.2,7.5,0.5,2010-2014
Mexico,38.6,39.4,17.4,4.6,2010-2014
Morocco,35.8,42.5,16.7,4.7,2010-2014
Netherlands,49.6,45.1,4.3,0.3,2010-2014
New Zealand,57,35.2,4.9,0.1,2010-2014
Nigeria,62.2,32.3,5.1,0.4,2010-2014
Pakistan,42.6,40.5,14.3,2.3,2010-2014
Peru,23.5,32.4,40.4,2.6,2010-2014
Philippines,30.8,58.9,8.6,1.6,2010-2014
Poland,38.3,55.2,5,1.2,2010-2014
Qatar,72.9,25.6,1.4,0.2,2010-2014
Romania,22.4,52.2,22.1,3.1,2010-2014
Russia,34.6,45.8,15.2,3.5,2010-2014
Rwanda,72.1,25,2.5,0.5,2010-2014
Singapore,52.5,41.4,5.5,0.6,2010-2014
Slovenia,44.2,47.9,7.5,0.4,2010-2014
South Africa,44.7,37.1,13.4,4.4,2010-2014
Zimbabwe,37.8,46.5,14.3,1.4,2010-2014
Spain,52.4,42.8,3.5,0.1,2010-2014
Sweden,67.8,29.5,2.2,0.3,2010-2014
Thailand,32.3,49.8,15.3,2.4,2010-2014
Trinidad and Tobago,33.9,41.6,22.2,1.7,2010-2014
Tunisia,48.2,34.2,9.8,7.6,2010-2014
Turkey,58,38.9,2.3,0.4,2010-2014
Ukraine,44,41.6,12.3,2,2010-2014
Egypt,54.9,33.6,9,2.5,2010-2014
United States,53.5,39.8,5.1,0.8,2010-2014
Uruguay,51.4,31,13.6,3.7,2010-2014
Uzbekistan,52.3,38.5,8,1.1,2010-2014
Yemen,49.5,40.7,7.4,1.2,2010-2014
