Country,Very important,Rather important,Not very important,Not at all important,Year
Albania,11.8,33.1,36.1,15.5,1994-1999
Azerbaijan,30,51.7,16.2,1.5,1994-1999
Argentina,26.4,49.3,20,3.3,1994-1999
Australia,44.4,44.4,9.8,0.6,1994-1999
Bangladesh,11.1,47.5,35.5,5,1994-1999
Armenia,23,47.4,22.4,4.7,1994-1999
Bulgaria,20.9,38,30.2,6.4,1994-1999
Belarus,28.7,44.4,19.6,3.7,1994-1999
Chile,42,43.6,10.7,1.8,1994-1999
China,10.7,43.9,36.6,6,1994-1999
Taiwan,25.8,51.8,20.8,1,1994-1999
Colombia,39.7,48.5,10.8,0.8,1994-1999
Croatia,33,42.5,19.8,3.1,1994-1999
Czech Rep.,26.2,48,22,3.1,1994-1999
Dominican Rep.,29.7,37.2,22.8,5,1994-1999
El Salvador,61.8,26.7,9.1,1.6,1994-1999
Estonia,21.3,53.7,20.4,3.1,1994-1999
Finland,34.7,55.6,7.5,0.8,1994-1999
Georgia,36.2,44.8,14.1,4.3,1994-1999
Germany,31.8,54.9,11.6,0.7,1994-1999
Hungary,33.5,41.4,21.1,3.8,1994-1999
India,11.1,24.9,40.1,21.9,1994-1999
Japan,39.8,49.1,8.8,0.6,1994-1999
South Korea,22.7,62.8,12.4,1.3,1994-1999
Latvia,19.7,44.8,26.8,6.1,1994-1999
Lithuania,18.4,54.2,23.2,2.3,1994-1999
Mexico,35.5,36.5,23,3.6,1994-1999
Moldova,22.3,45.9,22.8,7.3,1994-1999
New Zealand,45,43.5,6.6,0.7,1994-1999
Nigeria,50.4,32.2,13.8,2.5,1994-1999
Norway,39,52.4,7.6,1.1,1994-1999
Pakistan,12.5,26.5,34,21.8,1994-1999
Peru,28.5,38,25.9,4.3,1994-1999
Philippines,14.2,41.4,35.6,8.5,1994-1999
Poland,23,54.9,16.7,2.4,1994-1999
Puerto Rico,47.1,41.3,10.3,0.9,1994-1999
Romania,27,45.4,21.1,5.1,1994-1999
Russia,25.8,44.5,24.4,3.8,1994-1999
Slovakia,25.6,55,16.6,1.7,1994-1999
Slovenia,33.3,44.4,19.1,2.7,1994-1999
South Africa,31.5,39.7,19.6,7.7,1994-1999
Spain,30.2,52,15.4,1.4,1994-1999
Sweden,51.4,43,4.4,0.7,1994-1999
Switzerland,45.2,43,9.4,1.1,1994-1999
Turkey,40.1,38.3,16.6,3.3,1994-1999
Ukraine,24.8,44.3,19.7,5.8,1994-1999
Macedonia,45.5,32.9,12.6,1.6,1994-1999
United States,42.3,45.7,10.7,0.8,1994-1999
Uruguay,46.4,41.3,9,1.5,1994-1999
Venezuela,60.4,26.4,10,2.7,1994-1999
Serbia,25.9,45.6,24.2,3,1994-1999
Montenegro,25.4,46.2,24.2,2.5,1994-1999
Bosnia,47.1,41.4,8.5,1.9,1994-1999
Albania,13.7,38,35.2,11.7,2000-2004
Algeria,23.8,52,17.5,5.5,2000-2004
Argentina,35.1,41.7,17.4,3.9,2000-2004
Bangladesh,23,46.1,26.2,3.1,2000-2004
Bosnia Herzegovina,43.3,43.8,11.7,0.9,2000-2004
Canada,38,50.2,10.6,1.1,2000-2004
Chile,53.3,34.4,8.8,2.4,2000-2004
China,7.1,41.7,43.9,4.1,2000-2004
India,27.7,33.6,24.9,10.5,2000-2004
Indonesia,17.2,45.9,34.9,1.7,2000-2004
Iran,28.5,39.7,21.8,5.6,2000-2004
Iraq,30.5,34.2,22,10,2000-2004
Japan,42.3,46,8.1,0.1,2000-2004
Jordan,17.2,40,29.4,12.4,2000-2004
South Korea,23.8,60.9,13.5,1.8,2000-2004
Kyrgyzstan,24.8,45.8,25,3.8,2000-2004
Mexico,49.7,32.4,12.4,3.3,2000-2004
Moldova,24.2,43.5,25.9,3.5,2000-2004
Morocco,38.6,35.1,16.4,9.4,2000-2004
Nigeria,51.7,32.3,12.7,3,2000-2004
Pakistan,4.9,30,42.4,18.6,2000-2004
Peru,22.8,28.4,35.2,12.8,2000-2004
Philippines,15.3,41.5,36.9,6.3,2000-2004
Puerto Rico,52.5,33.5,12.2,1.5,2000-2004
Saudi Arabia,30.4,33.2,27,8.2,2000-2004
Singapore,26.3,54.7,17.7,1.1,2000-2004
Vietnam,7.2,50.8,38,1.7,2000-2004
South Africa,35.4,42.9,17.6,3.6,2000-2004
Zimbabwe,27.5,36.4,28.1,7.9,2000-2004
Spain,38.2,48.5,11.6,0.9,2000-2004
Sweden,53.9,39.6,5.7,0.4,2000-2004
Turkey,40.8,35.1,16.7,6.3,2000-2004
Uganda,44.7,36.6,16,2.6,2000-2004
Macedonia,41.2,38.8,16.7,2.4,2000-2004
Egypt,9.1,45.5,35.5,9.3,2000-2004
Tanzania,10.5,34.9,31.9,11.7,2000-2004
United States,42.5,48.2,8.8,0.4,2000-2004
Venezuela,65.7,24.2,7.9,2.2,2000-2004
Serbia,30.4,45.8,19.8,2.3,2000-2004
Montenegro,24.3,46,24.8,3.7,2000-2004
Andorra,50.9,43.5,5.3,0.3,2005-2009
Argentina,40.1,42.4,14.6,1.8,2005-2009
Australia,44.8,45.7,6.9,0.3,2005-2009
Brazil,27,57.2,12.8,2.5,2005-2009
Bulgaria,27.6,39.9,25.8,4.7,2005-2009
Canada,40.7,47.7,10.2,1,2005-2009
Chile,47.2,37.9,11.9,2.2,2005-2009
China,11.4,38.9,39.5,3.7,2005-2009
Taiwan,34.4,49.8,14.6,1.3,2005-2009
Cyprus,50.8,34.7,11.4,2.3,2005-2009
Ethiopia,47.3,33.9,16.9,1.5,2005-2009
Finland,42.6,50.5,5.7,0.4,2005-2009
France,37.6,49.1,11.1,2,2005-2009
Georgia,39.3,44.3,12.3,3.2,2005-2009
Germany,29.7,53.1,13.8,2.4,2005-2009
Ghana,52,30.2,14.3,2.2,2005-2009
Guatemala,59.1,29.8,9.7,1.3,2005-2009
Hong Kong,23.6,62.5,12.7,0.3,2005-2009
Hungary,33.4,49.3,14.8,2.3,2005-2009
India,23.6,36.1,24.2,12.6,2005-2009
Indonesia,22.5,39.6,33.1,3,2005-2009
Iran,35.9,42.3,17.9,3.3,2005-2009
Iraq,31.2,38.5,18.4,7.5,2005-2009
Italy,31.1,54.6,12.5,0.7,2005-2009
Japan,40.3,49.8,6.6,0.5,2005-2009
Jordan,36.1,39.3,18.1,6.2,2005-2009
South Korea,24.1,60.9,13.8,1.2,2005-2009
Malaysia,39.3,47.3,12.2,1,2005-2009
Mali,34,31.2,21.8,7.8,2005-2009
Mexico,54.9,29.4,12.7,2.1,2005-2009
Moldova,20.8,46.2,27.6,4.6,2005-2009
Morocco,23.7,29.1,28.5,15.8,2005-2009
Netherlands,55.6,39.9,4,0.3,2005-2009
