Country,Very important,Rather important,Not very important,Not at all important,Year
Albania,3.7,18.3,39.9,35.3,1994-1999
Azerbaijan,9.6,27.3,41.6,20.8,1994-1999
Argentina,10.1,20.5,31.7,36.7,1994-1999
Australia,15,34.4,35.8,14,1994-1999
Bangladesh,13.4,35.2,36.7,12.9,1994-1999
Armenia,14,35,31.7,16.8,1994-1999
Bulgaria,6.9,17.8,41.1,31.1,1994-1999
Belarus,9.8,30.5,35,22.1,1994-1999
Chile,6.9,13,35,42.8,1994-1999
China,23.7,35.3,27.4,7.4,1994-1999
Taiwan,10.9,31,42.4,10.6,1994-1999
Colombia,9.4,22.7,50.2,16.8,1994-1999
Croatia,5.9,20.2,39.9,32.9,1994-1999
Czech Rep.,3.2,22.3,44.7,28.6,1994-1999
Dominican Rep.,15.6,21.3,39.1,18.2,1994-1999
El Salvador,17,19.2,21.1,37.8,1994-1999
Estonia,4.6,23.4,46.4,24.4,1994-1999
Finland,3.1,16.2,50.4,28.9,1994-1999
Georgia,13.2,33.3,25.7,27.8,1994-1999
Germany,10.9,39.7,39,9.5,1994-1999
Hungary,6.6,20.5,37.7,34.8,1994-1999
India,10.9,21.8,33.5,30.6,1994-1999
Japan,18.3,42.8,29.3,3.4,1994-1999
South Korea,19.2,45.6,28.2,5.8,1994-1999
Latvia,5.1,20.9,42.8,28.2,1994-1999
Lithuania,3.9,24.2,47.8,22.7,1994-1999
Mexico,17.2,27.3,35.4,18.3,1994-1999
Moldova,6.6,21.1,42.7,27,1994-1999
New Zealand,7,34.7,41.1,11.7,1994-1999
Nigeria,21.4,21.4,31.3,23.3,1994-1999
Norway,6,38.9,45.1,10,1994-1999
Pakistan,7.7,12.4,19,56.3,1994-1999
Peru,13.1,22.7,36.4,22.1,1994-1999
Philippines,14.6,34,31.1,19.4,1994-1999
Poland,6.9,23.2,37.4,30.4,1994-1999
Puerto Rico,12.9,22.5,38.8,24.7,1994-1999
Romania,6.9,17.6,37.3,36.5,1994-1999
Russia,8.1,19.5,42.7,28.9,1994-1999
Slovakia,3.7,24.4,45.2,25.1,1994-1999
Slovenia,2.9,11.9,47.2,37.5,1994-1999
South Africa,18.7,25.3,26.4,26.2,1994-1999
Spain,7.8,15.3,32.1,42.7,1994-1999
Sweden,11,36.2,41,11.6,1994-1999
Switzerland,6.4,31.4,41.9,19,1994-1999
Turkey,24.2,27.4,23.4,24.2,1994-1999
Ukraine,6.4,21.9,39.2,26.9,1994-1999
Macedonia,9.8,21.4,34.1,31.3,1994-1999
United States,17.8,40.4,31.9,8.8,1994-1999
Uruguay,13.8,21.7,31.4,31.2,1994-1999
Venezuela,12.7,14.3,20.7,51.2,1994-1999
Serbia,7.3,16.6,42,32.1,1994-1999
Montenegro,4.6,23.8,36.2,32.5,1994-1999
Bosnia,14.1,34.2,29.9,20.8,1994-1999
Albania,8.1,22.7,32.5,34.6,2000-2004
Algeria,15,34.4,26.4,19.3,2000-2004
Argentina,8.9,14.9,29.6,46.1,2000-2004
Bangladesh,19.7,29.3,35.6,12.1,2000-2004
Bosnia Herzegovina,10.9,24.5,35.6,28.5,2000-2004
