Country,Very important,Rather important,Not very important,Not at all important,Year
Albania,24.2,34.5,28.2,10.7,1994-1999
Azerbaijan,29.5,52.5,13.2,3.3,1994-1999
Argentina,34.9,31.1,21.3,11.8,1994-1999
Australia,23.1,24.6,32.2,19.2,1994-1999
Bangladesh,82.2,16.1,1,0.5,1994-1999
Armenia,25,36.8,22.6,9.6,1994-1999
Bulgaria,14.8,25.7,30.6,24.3,1994-1999
Belarus,20,31,25.2,15.4,1994-1999
Chile,41.8,31.3,19,5.6,1994-1999
China,3.9,10.3,30.8,44,1994-1999
Taiwan,12.6,35.1,44.7,6,1994-1999
Colombia,49,38.7,10.5,1.5,1994-1999
Croatia,25.7,29.8,28,15.6,1994-1999
Czech Rep.,9,14,27.6,46.4,1994-1999
Dominican Rep.,49.6,32.1,11.5,3.4,1994-1999
El Salvador,86.5,8.2,2.6,2.2,1994-1999
Estonia,7.9,19.4,37.5,32.7,1994-1999
Finland,13.3,31.5,37.1,17.3,1994-1999
Georgia,49.3,34.1,10.8,5.6,1994-1999
Germany,10.8,16.2,30.2,41.7,1994-1999
Hungary,21.5,20.6,29.2,28.5,1994-1999
India,48.2,29.5,13.9,7,1994-1999
Japan,6.4,14.9,38.3,31.7,1994-1999
South Korea,19.8,30.8,32.6,15.7,1994-1999
Latvia,12.2,23.5,32.8,27.1,1994-1999
Lithuania,13.1,39.2,30.9,14,1994-1999
Mexico,45.4,33.2,17.1,3,1994-1999
Moldova,30.5,36,22.8,10,1994-1999
New Zealand,19,19.2,26.4,30.2,1994-1999
Nigeria,91.5,6.7,1.3,0.2,1994-1999
Norway,12.1,26.1,41.1,20.7,1994-1999
Pakistan,80.5,14.1,5.3,0.1,1994-1999
Peru,53.3,28.4,12.9,2.2,1994-1999
Philippines,78.3,19.5,1.8,0.2,1994-1999
Poland,46.4,36.3,13,3.2,1994-1999
Puerto Rico,71.2,21.6,4.1,2.7,1994-1999
Romania,37.5,37.6,17.8,4.8,1994-1999
Russia,14,25.9,34.8,22.5,1994-1999
Slovakia,23.7,30.5,24.2,19.3,1994-1999
Slovenia,16.3,26.7,34.2,21.8,1994-1999
South Africa,67.8,22.1,7,2.5,1994-1999
Spain,25.2,32.5,27.8,13.9,1994-1999
Sweden,9.5,19.7,42.6,27.2,1994-1999
Switzerland,14.3,26.4,32.3,24.6,1994-1999
Turkey,83.3,10.2,4.1,2.4,1994-1999
Ukraine,19.1,29.7,24.4,18,1994-1999
Macedonia,33.8,29.2,20.6,12.3,1994-1999
United States,55.9,26.2,12.4,5.2,1994-1999
Uruguay,22.8,26.1,30.3,19.3,1994-1999
Venezuela,61.1,23.9,9.2,5.6,1994-1999
Serbia,25.3,28.8,29.1,14,1994-1999
Montenegro,23.8,27.5,32.5,13.3,1994-1999
Bosnia,39.8,35.8,15.6,8.2,1994-1999
Albania,27.5,31.2,25.2,14.2,2000-2004
Algeria,90.6,7.5,0.9,0,2000-2004
Argentina,46.3,26.3,18.2,8.6,2000-2004
Bangladesh,87.5,10.7,1.1,0.3,2000-2004
Bosnia Herzegovina,34,36.1,18.3,10.5,2000-2004
Canada,30.1,30.4,26.6,12.6,2000-2004
Chile,46.3,33.4,14.2,5.4,2000-2004
China,2.5,6.3,25.3,59.9,2000-2004
India,55.8,23.4,11.6,7.1,2000-2004
Indonesia,98.1,1.8,0.1,0,2000-2004
Iran,78.9,14.9,3.3,1.2,2000-2004
Iraq,93.5,5.2,0.6,0.2,2000-2004
Japan,6.4,13.1,31.6,36.4,2000-2004
Jordan,95.9,3.4,0.3,0.4,2000-2004
South Korea,23.2,28.9,31.3,16.4,2000-2004
Kyrgyzstan,31.6,37.5,24.2,6,2000-2004
Mexico,67.7,19.8,8.9,3.1,2000-2004
Moldova,33.9,39.5,17.7,5.2,2000-2004
Morocco,95.6,3.6,0.6,0.2,2000-2004
Nigeria,92.8,6.1,0.7,0.2,2000-2004
Pakistan,81.8,13.1,4.6,0.5,2000-2004
Peru,52.5,31.4,13.9,2.1,2000-2004
Philippines,86.8,10.6,2.3,0.3,2000-2004
Puerto Rico,75.4,18.1,5,1.2,2000-2004
Saudi Arabia,88.7,8.7,1.7,0.5,2000-2004
Singapore,35.9,35,22.3,6.7,2000-2004
Viet Nam,9.7,22.8,47.1,17.2,2000-2004
South Africa,69.7,21.8,5.3,3.1,2000-2004
Zimbabwe,77.6,14.3,5.6,2.4,2000-2004
Spain,21.9,27.3,30.9,19.3,2000-2004
Sweden,10.6,24.2,42.3,22.2,2000-2004
Turkey,80.3,13.1,3.7,2.7,2000-2004
Uganda,73.5,21.3,3.9,1.2,2000-2004
Macedonia,47,30.2,15.2,6.2,2000-2004
Egypt,97.3,2.5,0.1,0,2000-2004
Tanzania,77.8,9.5,3.2,0.9,2000-2004
United States,56.9,25.4,12.4,4.9,2000-2004
Venezuela,63.8,23,7.9,5,2000-2004
Serbia,28.7,39.1,24.4,6.2,2000-2004
Montenegro,18.9,45,30.5,3.6,2000-2004
Andorra,7.9,21.2,31.2,39.4,2005-2009
Argentina,33.1,31.6,23.7,10.5,2005-2009
Australia,19.2,19.4,30.9,28.9,2005-2009
Brazil,50.5,40.4,6.2,2.7,2005-2009
Bulgaria,18.4,31,31.3,16.5,2005-2009
Canada,31.8,26.9,25.2,15.5,2005-2009
Chile,39.6,33.3,18.2,8.1,2005-2009
China,5,11.2,24.1,34.5,2005-2009
Taiwan,12.4,39.3,35.8,12.5,2005-2009
Cyprus,53.5,26.9,12,6.6,2005-2009
Ethiopia,80.5,13.1,3.8,2,2005-2009
Finland,17.6,27.4,40.4,14.2,2005-2009
France,13,27.8,30.6,28.3,2005-2009
Georgia,79.5,16.9,1.9,0.9,2005-2009
Germany,11,22.2,28.4,36.2,2005-2009
Ghana,89.9,7.4,1.7,0.4,2005-2009
Guatemala,83.6,12,3.3,1.1,2005-2009
Hong Kong,5.1,22,60.4,9.8,2005-2009
Hungary,17.1,20.6,28.7,33.3,2005-2009
India,49.7,28.3,13.4,5.3,2005-2009
Indonesia,94,4,0.9,0.3,2005-2009
Iran,78.2,16.1,3.9,1.5,2005-2009
Iraq,95.6,3.3,0.4,0.2,2005-2009
Italy,34,41.2,16.8,6.7,2005-2009
Japan,5.7,11.6,31.7,39.7,2005-2009
Jordan,94.4,5.2,0.2,0.2,2005-2009
South Korea,21.1,25.8,34.5,18.6,2005-2009
Malaysia,80.4,15.5,3.3,0.7,2005-2009
Mali,88.1,8.4,0.8,0.3,2005-2009
Mexico,58.7,26,11.4,3.4,2005-2009
Moldova,31.7,41.1,20.4,6.6,2005-2009
Morocco,90.5,7.9,1.2,0.2,2005-2009
Netherlands,12,18.2,27.3,38.7,2005-2009
New Zealand,16.6,17.7,29.5,32.2,2005-2009
Norway,10.5,22.2,41.3,26,2005-2009
Peru,49.1,26.5,18.7,4.7,2005-2009
Poland,47.2,38.5,10.3,2.7,2005-2009
Romania,57,32,7,2.4,2005-2009
Russia,13.1,33.4,31,17.9,2005-2009
Rwanda,38.8,56.8,4.1,0.1,2005-2009
Viet Nam,7.1,25.3,47.1,19.4,2005-2009
Slovenia,15.1,27.2,30.6,25.7,2005-2009
South Africa,69.9,20.1,6.5,3,2005-2009
Spain,14.8,24.1,31,29.7,2005-2009
Sweden,9.3,19.9,40.7,29.6,2005-2009
Switzerland,17.2,28.2,31.6,22.7,2005-2009
Thailand,56,37.7,5.3,0.4,2005-2009
Trinidad and Tobago,76.6,12.9,7.9,2.3,2005-2009
Turkey,74.6,16.6,6.2,2.5,2005-2009
Ukraine,17.6,37.4,26.7,14.6,2005-2009
Egypt,95.4,4.1,0.2,0.2,2005-2009
United Kingdom,20.7,19.4,33.4,25,2005-2009
United States,47,24.1,19.5,8.7,2005-2009
Burkina Faso,82.8,12,2.7,0.7,2005-2009
Uruguay,22.6,23,27.5,25.9,2005-2009
Serbia and Montenegro,25.3,40.2,26.4,6.5,2005-2009
Zambia,75.6,16.3,4.5,1.2,2005-2009
Algeria,90.7,6.7,1.2,0.9,2010-2014
Azerbaijan,35.9,33.3,20.5,10.2,2010-2014
Argentina,24.1,32.1,24.7,17.8,2010-2014
Australia,14.1,17,27.9,37.4,2010-2014
Armenia,57.5,31.8,7.1,3.5,2010-2014
Brazil,51.5,37.9,7.3,3.2,2010-2014
Belarus,15.9,32.1,33.4,17.4,2010-2014
Chile,23.8,35.1,27.3,13,2010-2014
China,2.6,8,29.6,49.8,2010-2014
Taiwan,17.7,35,37.2,8.6,2010-2014
Colombia,58.9,26.5,11.1,3.5,2010-2014
Cyprus,51.1,28.8,13.2,6.6,2010-2014
Ecuador,67.1,20.8,9.5,2.7,2010-2014
Estonia,7.6,17.7,37.4,35.7,2010-2014
Georgia,84.9,12.1,2.1,0.8,2010-2014
Palestine,87.5,9.4,2.3,0.7,2010-2014
Germany,13.1,24.9,36.1,25.6,2010-2014
Ghana,91.1,7.4,1.5,0,2010-2014
Haiti,28,47.4,16.1,7.4,2010-2014
Hong Kong,12.1,21.3,43.8,22.6,2010-2014
India,67.1,24.2,5.5,1.8,2010-2014
Iraq,84.7,12.8,2.3,0.2,2010-2014
Japan,5.4,13.6,33.2,34.3,2010-2014
Kazakhstan,21.5,33.5,33.6,11.4,2010-2014
Jordan,93.3,6.2,0.2,0.1,2010-2014
South Korea,25.7,28.5,26.1,18.5,2010-2014
Kuwait,86.5,7.4,2.1,0.5,2010-2014
Kyrgyzstan,39.3,45.5,11.4,3.7,2010-2014
Lebanon,52.9,24.1,11.8,8.2,2010-2014
Libya,94.9,3,0.3,0.1,2010-2014
Malaysia,84.8,12,2.9,0.2,2010-2014
Mexico,58.4,25.4,11.2,5,2010-2014
Morocco,88.9,9.8,0.8,0.2,2010-2014
Netherlands,10.7,14.5,28.9,43.8,2010-2014
New Zealand,18.7,17.4,27.9,30.7,2010-2014
Nigeria,89.8,7.7,1.8,0.7,2010-2014
Pakistan,89.5,8,1.2,0.6,2010-2014
Peru,49.9,30.3,15.7,2.8,2010-2014
Philippines,85.9,12.2,1.6,0.3,2010-2014
Poland,45.7,33.9,15.1,4.8,2010-2014
Qatar,98.9,0.9,0.2,0,2010-2014
Romania,50.5,33.3,12.7,3.2,2010-2014
Russia,14.3,27.5,30.5,22.4,2010-2014
Rwanda,40.3,32,24.2,3.5,2010-2014
Singapore,43.1,33.6,17.8,5.4,2010-2014
Slovenia,11.2,21.7,40.5,25.9,2010-2014
South Africa,55.8,28.1,9.8,4.8,2010-2014
Zimbabwe,83.5,12.1,3.7,0.7,2010-2014
Spain,10.7,21.3,31.2,35.9,2010-2014
Sweden,7.9,18.3,38.5,34.3,2010-2014
Thailand,56.6,31.1,9.5,2.3,2010-2014
Trinidad and Tobago,78.5,12.1,6.5,2,2010-2014
Tunisia,95.4,2.7,1,0.6,2010-2014
Turkey,68.1,24.6,4,3,2010-2014
Ukraine,26.3,34.5,26.5,12.8,2010-2014
Egypt,94.1,5.7,0,0.1,2010-2014
United States,40.4,28,18.2,12.7,2010-2014
Uruguay,20.3,18.3,30.1,30.6,2010-2014
Uzbekistan,34.3,38.7,19.6,6.2,2010-2014
Yemen,95.8,2.8,0.4,0.8,2010-2014
