Country,Very important,Rather important,Not very important,Not at all important,Year
Albania,79.7,15.8,2,1.5,1994-1999
Azerbaijan,53.3,36.3,7.5,1.5,1994-1999
Argentina,70.3,26.4,2.3,0.9,1994-1999
Australia,50.8,35.4,8.9,4,1994-1999
Bangladesh,83.1,15.9,0.6,0.1,1994-1999
Armenia,66.8,26.8,5.5,0.6,1994-1999
Bulgaria,52,31.4,7.7,5.1,1994-1999
Belarus,46.7,36.7,10.4,3.5,1994-1999
Chile,64.3,27.8,4.7,0.9,1994-1999
China,63.9,27.3,5.6,1,1994-1999
Taiwan,44.4,45.8,8.1,1.2,1994-1999
Colombia,71.8,27.1,0.9,0.1,1994-1999
Croatia,54.3,36.2,7.4,1.4,1994-1999
Czech Rep.,48.9,35.2,10.3,4.7,1994-1999
Dominican Rep.,63.1,29.3,2.6,1,1994-1999
El Salvador,94.8,3.3,1,0.6,1994-1999
Estonia,59.7,32.1,4.7,1.9,1994-1999
Finland,48.5,37.4,7.6,4.7,1994-1999
Georgia,57.8,21.6,10.5,9.1,1994-1999
Germany,50.3,36.3,9.2,3.2,1994-1999
Hungary,50.5,36.2,9.8,3.2,1994-1999
India,82.4,14.8,1.6,0.6,1994-1999
Japan,53.5,34,7.8,1.6,1994-1999
South Korea,57.5,33.6,6,1.7,1994-1999
Latvia,56.1,34.4,5.9,2.9,1994-1999
Lithuania,45.6,44.3,8,1.2,1994-1999
Mexico,63.4,28.2,6,0.9,1994-1999
Moldova,52,32.9,7.1,5.7,1994-1999
New Zealand,45,40.6,6,3,1994-1999
Nigeria,86.9,10.3,1.3,1.1,1994-1999
Norway,58.8,34.5,4.4,2.2,1994-1999
Pakistan,67.7,24.7,5.9,1,1994-1999
Peru,72.8,22.8,1.2,0.5,1994-1999
Philippines,83,14.7,1.5,0.7,1994-1999
Poland,63.3,30.4,3.1,2.3,1994-1999
Puerto Rico,74.3,21.6,2.9,0.9,1994-1999
Romania,58.8,34.6,5.3,0.9,1994-1999
Russia,48.6,34.1,9.4,6.4,1994-1999
Slovakia,47.1,41.6,6.9,3,1994-1999
Slovenia,54.9,39,5.1,1,1994-1999
South Africa,79.5,13.6,3.4,2.2,1994-1999
Spain,59.1,30.6,6.8,3.1,1994-1999
Sweden,64.6,29.2,2.9,2.1,1994-1999
Switzerland,46.5,41.7,7.8,2.5,1994-1999
Turkey,76,18.7,3.3,1.1,1994-1999
Ukraine,47.2,35.5,8.4,4.7,1994-1999
Macedonia,82,8.1,3.1,1.1,1994-1999
United States,55.2,30.5,8.1,5.5,1994-1999
Uruguay,70.3,24.5,3,1.3,1994-1999
Venezuela,94.2,3.9,1.2,0.4,1994-1999
Serbia,62.9,28.2,6.7,1.1,1994-1999
Montenegro,53.3,33.3,9.6,1.2,1994-1999
Bosnia,79.4,16.5,3.6,0.4,1994-1999
Albania,81.5,12.5,3.4,1.5,2000-2004
Algeria,92.4,5.9,0.9,0.4,2000-2004
Argentina,73.4,22.2,2.6,1.2,2000-2004
Bangladesh,91.3,7.6,0.5,0.1,2000-2004
Bosnia Herzegovina,74.6,14.2,3.8,7.1,2000-2004
Canada,52.1,36.5,7.1,3.8,2000-2004
Chile,74.8,19.5,2.9,1.4,2000-2004
China,49,42.5,6,1.1,2000-2004
India,76.5,17.5,2.9,1.5,2000-2004
Indonesia,88.8,10,0.8,0,2000-2004
Iran,77.3,15.9,3.6,1.5,2000-2004
Iraq,85.2,10.6,2,1.2,2000-2004
Japan,46.6,37.6,9,1.8,2000-2004
Jordan,64.7,19.5,8.6,6.7,2000-2004
South Korea,62.3,30.5,5.1,2.1,2000-2004
Kyrgyzstan,54.8,33.8,9.6,1.3,2000-2004
Mexico,86.1,10.1,1.9,1,2000-2004
Moldova,40.1,34.7,12.9,5.3,2000-2004
Morocco,89,7.4,2.2,0.4,2000-2004
Nigeria,88.2,8.2,1.9,1.3,2000-2004
Pakistan,60.3,32.6,4.8,1.6,2000-2004
Peru,68.2,29.2,1.9,0,2000-2004
Philippines,93.4,5.6,0.7,0.3,2000-2004
Puerto Rico,73.9,20.3,3.3,1.7,2000-2004
Saudi Arabia,61.5,24.4,9.3,2.7,2000-2004
Singapore,52.3,38.8,6.5,1.8,2000-2004
Vietnam,56.5,36.9,5.6,0.4,2000-2004
South Africa,79.3,13.3,5.1,1.5,2000-2004
Zimbabwe,90,8.9,0.9,0,2000-2004
Spain,55.5,33.9,6.3,3.7,2000-2004
Sweden,54.1,36.5,5.6,3.3,2000-2004
Turkey,69.8,18.3,5.7,5.5,2000-2004
Uganda,78.3,16.8,3.6,0.9,2000-2004
Macedonia,75.7,17.9,4.9,0.7,2000-2004
Egypt,71.5,18.7,7.7,1.5,2000-2004
Tanzania,88.4,2.6,0.9,0.4,2000-2004
United States,53.6,35.8,7,3.3,2000-2004
Venezuela,92.5,5,1.6,0.8,2000-2004
Serbia,53.8,35.3,6.6,2.6,2000-2004
Montenegro,57,30.5,5.8,4.1,2000-2004
Andorra,46,46.5,5.9,0.5,2005-2009
Argentina,70.4,25.7,2.2,1.2,2005-2009
Australia,34.5,45.4,8.4,6.7,2005-2009
Brazil,65.3,33.4,0.9,0.2,2005-2009
Bulgaria,49.7,29.5,10,7.4,2005-2009
Canada,48.2,37.4,8.9,4.6,2005-2009
Chile,62.3,28.4,5.7,2.4,2005-2009
China,43.7,41.8,7.5,1.4,2005-2009
Taiwan,62.7,27.3,6.2,3.8,2005-2009
Cyprus,55.1,32.5,8.5,3.1,2005-2009
Ethiopia,89.3,8.7,0.6,1.1,2005-2009
Finland,40.1,44.7,8.6,2.8,2005-2009
France,62.2,30.7,2.6,0.9,2005-2009
Georgia,77.9,13.3,5.4,3,2005-2009
Germany,49.6,30.2,10.2,5.1,2005-2009
Ghana,92.7,5,1.3,0,2005-2009
Guatemala,95.1,4.2,0.5,0.1,2005-2009
Hong Kong,26.1,56.2,14.3,1.8,2005-2009
Hungary,55.1,31.2,8.6,4.6,2005-2009
India,67.9,25,3.9,1.5,2005-2009
Indonesia,85.3,10.7,2.4,0.3,2005-2009
Iran,76.5,16.8,4.7,1.5,2005-2009
Iraq,82.2,11.5,2.8,1.8,2005-2009
Italy,60.9,33.9,2.7,0.9,2005-2009
Japan,47.4,37.5,9.9,1.5,2005-2009
Jordan,66.7,20.1,7.8,5.1,2005-2009
South Korea,61.9,29.1,7.2,1.7,2005-2009
Malaysia,70.4,23.5,4.5,1.4,2005-2009
Mali,85.3,9.1,1.5,0.6,2005-2009
Mexico,84.9,12.6,1.3,0.6,2005-2009
Moldova,43.4,46.7,8.3,1.4,2005-2009
Morocco,85.6,11.2,2,0.9,2005-2009
Netherlands,30.9,45.7,11,6.9,2005-2009
New Zealand,34.6,47.7,7.2,4.3,2005-2009
Norway,52.8,39.7,4.5,2.8,2005-2009
Peru,71.2,23.5,3.9,0.8,2005-2009
Poland,61,25.9,5.6,5.6,2005-2009
Romania,53.5,34.9,6.2,2.8,2005-2009
Russia,48.4,31.2,11.8,6.1,2005-2009
Rwanda,63.7,35,0.8,0.1,2005-2009
Vietnam,40.8,47.6,10.1,0.7,2005-2009
Slovenia,47,45.1,5,2.4,2005-2009
South Africa,77.4,14.5,3.5,2.9,2005-2009
Spain,51.9,35.8,6.2,5.5,2005-2009
Sweden,53.2,38.7,3.9,3.8,2005-2009
Switzerland,52.3,39.6,4.7,2.1,2005-2009
Thailand,57,34.4,7,0.9,2005-2009
Trinidad and Tobago,83.3,10.1,4.6,1.7,2005-2009
Turkey,56,30.5,8.4,4.8,2005-2009
Ukraine,39.1,38.7,13.2,7.8,2005-2009
Egypt,63.1,21.8,11.5,3.6,2005-2009
United Kingdom,35.5,35.3,10.5,9.7,2005-2009
United States,32.2,47,12.9,6.8,2005-2009
Burkina Faso,89.2,8,0.9,0.4,2005-2009
Uruguay,69.4,22.6,4,1.9,2005-2009
Serbia and Montenegro,59.9,29.3,7.4,1.8,2005-2009
Zambia,75.7,16.3,4.3,1.1,2005-2009
Algeria,76,10.9,4.8,5.7,2010-2014
Azerbaijan,67.3,16,11.7,5,2010-2014
Argentina,57.4,29.8,7,4.4,2010-2014
Australia,30.2,51.4,8.6,5.9,2010-2014
Armenia,70.9,22.3,3.4,2,2010-2014
Brazil,63.6,34.2,1.3,0.6,2010-2014
Belarus,45.2,32.4,12.4,9.1,2010-2014
Chile,56.3,32.5,5.8,2.9,2010-2014
China,38.1,41.5,13.3,2.7,2010-2014
Taiwan,60.2,29.9,6.2,2.5,2010-2014
Colombia,76.3,22.1,0.9,0.7,2010-2014
Cyprus,66.4,25.6,5,2.4,2010-2014
Ecuador,88.5,7.3,2.8,1.3,2010-2014
Estonia,53,29.3,8.8,7.8,2010-2014
Georgia,73.1,15.6,6.4,4.7,2010-2014
Palestine,64.6,19.7,8.9,3.9,2010-2014
Germany,39.4,40.5,9.9,7,2010-2014
Ghana,94.8,3.9,1.1,0.2,2010-2014
Haiti,66.7,25.5,5.8,1.5,2010-2014
Hong Kong,31.5,48.5,15.1,4.7,2010-2014
India,77.3,16.8,2.5,1.7,2010-2014
Iraq,66,24.8,6.8,2.3,2010-2014
Japan,52.1,32.1,8.4,1.9,2010-2014
Kazakhstan,61.9,23.1,10.7,4.3,2010-2014
Jordan,68.1,18.7,5.3,6.3,2010-2014
South Korea,60.8,29.8,4.8,3.4,2010-2014
Kuwait,75.8,16.4,2.9,2,2010-2014
Kyrgyzstan,63.7,29.6,5,1.7,2010-2014
Lebanon,62.4,20.3,9.5,4.9,2010-2014
Libya,78.9,10,5.6,3.2,2010-2014
Malaysia,82.8,13.1,3.3,0.8,2010-2014
Mexico,87,8.5,2.8,1.7,2010-2014
Morocco,82.5,12.7,2.6,1.5,2010-2014
Netherlands,29.5,49.1,12.4,5.2,2010-2014
New Zealand,35,46.1,8.1,5,2010-2014
Nigeria,76.8,16.3,3.9,2.9,2010-2014
Pakistan,72.8,17.3,4.9,3.2,2010-2014
Peru,69.1,25.6,3.2,0.6,2010-2014
Philippines,90.5,7.5,1.4,0.4,2010-2014
Poland,64.2,25,4,3.8,2010-2014
Qatar,84.5,9.9,4.2,1.4,2010-2014
Romania,55.9,34.3,6.4,2.8,2010-2014
Russia,45,29.3,9.4,9.7,2010-2014
Rwanda,70.5,18,10,1.4,2010-2014
Singapore,43.4,39.6,13.1,3.8,2010-2014
Slovenia,41.3,46.9,8.8,1.8,2010-2014
South Africa,57.5,22.6,9.4,6.1,2010-2014
Zimbabwe,85.4,11.8,1.7,1,2010-2014
Spain,62.4,22.3,7.8,6.3,2010-2014
Sweden,50.3,34.6,7.5,2.5,2010-2014
Thailand,66.6,25.4,5.4,1.9,2010-2014
Trinidad and Tobago,76.5,10.6,5.5,6.7,2010-2014
Tunisia,87,7.2,3.1,2.2,2010-2014
Turkey,49.6,31.7,11.9,5.7,2010-2014
Ukraine,52.6,26.2,12,9.2,2010-2014
Egypt,61,21.3,9.7,8,2010-2014
United States,35.6,44.3,12.9,6.6,2010-2014
Uruguay,63.7,26,4.8,4.5,2010-2014
Uzbekistan,71.1,13.6,8.7,5.9,2010-2014
Yemen,69.9,15.1,8.1,5.8,2010-2014
